account_id,credit_score,monthly_income,balance,debt_ratio,delinquency_30_days,delinquency_60_days,delinquency_90_days,open_credit_lines,dependents,age,times_90_days_late,real_estate_loans,serious_delinquency,account_open_date
38DALY8OZC,753,3086,17710,0.1075,0,0,0,5,0,65,0,1,0,2023-08-23
YWD14VE92M,743,4374,27733,0.1906,0,0,0,7,0,49,0,1,0,2022-07-07
PNSM43D8W3,566,3758,18038,0.3794,1,0,0,6,0,64,1,1,0,2021-10-01
ZP08J3TRP0,619,2181,5893,0.2585,0,0,0,8,1,35,0,4,0,2023-11-07
J43D5IQVNB,683,2654,1571,0.4836,0,0,0,5,2,24,0,0,0,2021-05-15
4GH2M5ZJA8,747,12429,62701,0.3637,1,0,0,13,1,42,1,0,0,2022-06-27
DZR1YXR2DH,602,3966,18732,0.218,1,0,0,8,2,70,0,1,0,2023-03-21
YLURTP0LZJ,631,3846,20205,0.059,0,0,0,9,3,35,0,3,1,2021-02-05
JEGET1GHR0,539,1973,14759,0.1218,0,0,0,9,2,69,0,2,0,2020-01-25
9SKDGIGATJ,530,3722,8499,0.2505,0,0,0,5,0,67,0,1,0,2022-11-16
9TZE5R5UQP,731,8747,50723,0.1594,0,0,0,5,0,76,0,2,0,2021-08-01
GB7R3OCWBF,785,7025,14069,0.106,0,1,0,10,2,25,0,2,0,2022-05-12
UK9E1V2ISQ,642,7995,51120,0.2349,0,0,0,11,0,60,0,1,0,2023-08-31
P49KWV08HH,750,2387,1742,0.0833,0,0,0,11,3,62,0,0,0,2021-12-07
XFGCAQVKIZ,686,2364,5950,0.5658,1,0,0,6,4,72,0,1,0,2021-02-10
ZQY72WX7PT,585,9701,23611,0.5086,0,0,0,8,2,28,0,1,0,2021-01-27
X63CFL0UKE,686,8068,55395,0.3199,0,0,0,9,3,50,0,1,1,2022-06-16
YZ7SRCBPLJ,803,4208,19388,0.2455,0,0,1,13,2,76,0,0,0,2022-05-05
D84U89YJB1,646,8199,29520,0.4002,0,0,0,10,0,34,0,2,0,2021-04-08
QX6GVWRDML,806,2387,5567,0.4902,0,0,0,11,1,28,0,1,1,2022-09-19
Y4LYK83TQL,388,2329,6802,0.1367,0,1,0,11,2,22,0,0,0,2020-04-24
L8OS9XTOGN,732,1862,11006,0.2043,0,0,0,10,0,47,0,1,0,2021-06-20
1W1HT7PZE9,658,6105,41982,0.229,0,0,0,8,0,56,0,0,0,2023-08-22
VIFTTD96QE,620,5597,6659,0.3984,0,0,0,9,1,69,0,1,0,2023-06-12
3RZSJ49ITN,659,3592,2186,0.7575,0,0,0,7,2,21,0,0,1,2021-07-26
7S55J2O7S3,451,3077,14209,0.5376,0,0,0,3,0,50,0,2,0,2021-12-15
KKV9RFTMTT,628,20925,141925,0.0333,1,0,0,8,2,68,0,1,0,2020-05-21
QLGZUI1B0Z,685,4207,2821,0.585,0,1,0,6,3,56,1,2,0,2022-08-22
3NX39RBSV5,797,11303,54700,0.2296,0,0,0,9,2,29,0,1,0,2021-05-26
5PSQ0OXFQ8,598,4501,29751,0.2372,0,0,0,13,0,71,0,0,0,2023-06-01
MYX444NLZ1,569,3639,4915,0.637,1,0,0,2,2,67,0,1,0,2022-06-05
5BCW790PDW,599,11498,36963,0.2798,0,0,0,4,1,63,0,3,0,2020-08-31
5PY6B2KNFT,741,7894,9914,0.1875,0,0,0,8,0,66,0,2,0,2021-10-28
U2GC5WI6FQ,682,4844,3812,0.2879,0,0,0,8,4,76,0,4,0,2023-05-25
JJA26YFPMV,597,9703,40806,0.1203,1,0,0,2,0,62,0,0,0,2020-09-02
XPJ4HNRIUU,701,22296,122314,0.3517,0,0,0,9,1,39,0,3,0,2020-10-27
9K9XJUY0BV,659,3167,23494,0.0658,0,0,1,8,3,27,0,1,0,2022-03-23
R6K2VMWWYZ,746,6522,18354,0.2395,0,0,0,7,0,40,0,1,0,2022-11-01
X4W6XLPU0D,579,3844,9433,0.4306,0,0,0,10,1,55,0,1,0,2022-09-16
K0GET8T63J,617,2805,14507,0.473,0,0,0,8,4,55,0,0,0,2022-03-31
3R30ME8F84,610,2759,20980,0.2886,0,0,0,9,3,47,0,2,0,2020-04-25
0982N2ATQY,503,12776,24183,0.3753,0,0,0,6,2,20,0,2,0,2020-12-20
YV37DIA5U6,679,1644,2284,0.1922,0,0,0,11,2,60,0,0,0,2023-05-16
HC36KOF8KR,676,6665,45486,0.3881,0,1,0,4,4,77,0,0,0,2021-10-03
D5EQY08P0F,650,2995,4507,0.4295,0,1,1,5,0,77,0,0,0,2023-11-21
ODRO8BNP84,626,14235,53575,0.3703,0,0,0,11,4,55,0,0,0,2020-02-08
DYT9MOGE4Q,508,4172,26536,0.1052,0,0,0,5,2,47,0,2,0,2020-01-12
XXVA2IEUC1,607,3950,13091,0.5216,0,0,0,12,1,68,1,0,0,2020-09-22
HH5LF6A4FE,615,12603,67691,0.5412,1,0,0,7,1,38,0,1,0,2022-12-02
JGXAA2ILGB,569,8317,53612,0.2671,0,0,0,7,2,47,0,1,1,2022-12-15
0S0R2SDS8B,633,6853,31173,0.3429,1,0,0,9,0,44,0,0,0,2021-08-01
25SQ8CROYR,690,7970,15945,0.3021,0,0,0,5,1,34,0,1,0,2021-08-04
6CCVCJWTL9,838,2565,5616,0.3363,0,0,0,10,0,78,0,1,0,2020-10-30
TQVDZ4X1ZH,667,7669,60410,0.4736,1,0,0,12,1,44,0,4,0,2021-11-02
QIMQODPXNF,675,4361,28715,0.2426,0,0,0,5,2,60,0,0,0,2023-02-08
7C3DD03UVU,642,6103,17669,0.5598,0,0,0,8,1,76,0,0,0,2021-01-16
LEMX15Z8VM,458,6573,12075,0.2897,0,0,0,2,0,27,0,0,0,2022-07-04
UHXID4N1U3,647,2524,6583,0.5876,0,0,0,6,1,40,0,2,0,2022-09-16
493WXA73JG,656,7018,46725,0.1198,0,1,0,10,0,55,0,0,0,2020-05-21
ZLMA5UOFWB,850,4394,21819,0.4874,0,1,0,7,2,61,0,0,0,2020-07-13
0HPMNZ1UDB,630,2335,13258,0.0775,0,0,0,9,1,39,0,1,0,2023-07-07
FWYJXRPJ1E,680,4501,24413,0.6102,0,0,0,6,1,20,0,1,0,2023-03-12
PKYRYBOVAK,646,4974,34372,0.0685,0,0,0,8,0,58,0,0,1,2020-03-23
HEJLA0GNZS,533,7017,55502,0.5624,0,0,0,8,0,79,1,1,0,2020-08-14
43C5BA75UU,764,1172,6128,0.1136,0,0,0,15,1,43,0,0,0,2021-08-22
ZPEAL2W37D,725,6203,31232,0.475,2,0,0,15,1,24,0,0,0,2023-10-05
4IVSOLMLGS,729,3615,4848,0.1542,1,0,0,7,1,45,0,2,0,2020-10-03
ES6M033IFH,559,7989,59209,0.116,1,1,0,6,1,54,0,1,0,2023-12-07
V1XG1R11Q7,790,4909,4762,0.6342,0,0,0,7,0,41,0,1,0,2020-01-07
UWW5WFCPKJ,509,4023,22458,0.2087,0,0,0,5,1,23,0,1,0,2020-12-01
CSLQC3C54W,708,4418,26821,0.23,0,0,0,10,3,58,0,2,0,2022-02-19
SQT26Q3XLR,850,6003,17959,0.3547,0,0,0,6,1,76,0,0,0,2022-01-12
FCD6MZSGIP,550,8473,10817,0.0773,0,0,1,11,2,28,0,1,0,2022-09-18
PSFNKOMV2X,593,2879,10612,0.2558,0,0,0,4,3,20,0,0,0,2023-04-30
CDYK0X65MU,659,3999,9192,0.4128,0,0,0,5,2,26,0,1,0,2022-05-16
FM8ZOV7LN2,599,11868,58800,0.2652,1,0,0,10,0,26,0,1,0,2023-08-06
3Y30YSXPNN,494,3957,3014,0.4856,0,0,0,8,0,52,0,1,0,2020-12-04
GH8RIEC4D1,656,6126,5275,0.1374,1,0,0,11,1,61,0,0,0,2021-06-04
45BM1ENF31,543,2343,11237,0.2967,1,0,0,6,0,70,0,2,0,2023-10-06
3FPOYIPK0Q,697,1756,2697,0.2556,0,0,0,6,2,33,0,0,0,2022-12-25
TL3Q4N89QK,558,2632,8408,0.5988,0,0,0,10,1,52,1,0,0,2021-10-08
NS832EJX5T,804,3248,22938,0.2306,1,0,0,9,3,62,0,2,0,2021-04-01
D44K1J6FP8,571,9172,6285,0.2005,2,0,1,10,0,58,0,0,0,2023-12-26
HQMABSI9NB,617,9795,15884,0.2705,0,0,0,9,5,41,0,0,0,2021-08-11
74X2EK3ZEZ,731,1548,11284,0.139,1,0,0,2,5,68,0,0,0,2023-06-12
QACJ4T0SEK,526,3551,11901,0.2752,0,1,0,7,0,42,0,1,0,2022-11-17
KBP2QD6VAS,672,7470,24279,0.4838,0,2,0,4,1,71,0,1,0,2020-11-14
IFPWIOXD9C,780,4613,21447,0.3259,0,1,0,4,4,57,0,1,0,2021-05-06
SS9TOQW9JA,489,12121,46014,0.0332,0,1,0,11,5,57,1,3,0,2021-07-09
2M0W10LBT3,668,7362,46433,0.1975,1,0,0,8,4,63,0,1,0,2020-11-11
G2QZW3C1QK,675,4185,10917,0.1828,0,0,1,9,2,76,1,0,1,2022-08-09
BHB7S9TJ1G,728,4415,7214,0.0492,2,1,0,7,0,64,0,1,0,2023-09-21
M25LEN606N,526,4750,22134,0.3267,0,0,0,7,1,45,0,1,0,2023-06-23
9RR7S20CV3,517,2958,11921,0.1672,0,1,0,5,1,25,0,0,1,2022-12-30
TLCXLVPYMB,702,8634,27598,0.2948,0,0,0,6,1,44,0,2,0,2022-06-21
5M9J98CWN2,679,7672,25566,0.2337,2,0,0,5,3,24,0,0,0,2021-11-23
Y8FV2BC2NN,675,6454,47291,0.2481,0,0,0,5,3,25,0,0,0,2021-06-20
UVY8N1UTOX,684,5684,36671,0.4178,1,1,0,9,2,31,0,1,0,2020-02-02
IE0RNUJJQ9,581,2667,5333,0.2126,0,0,0,10,0,21,0,1,0,2023-07-27
K6RE4Q6QDY,673,6650,25425,0.0315,0,0,0,8,3,43,0,2,0,2023-08-26
4LMCT64Z7W,679,5310,32652,0.56,0,1,0,3,0,28,0,1,0,2023-12-20
2SEHE2ATN2,578,16339,71747,0.4521,0,1,0,7,2,35,0,0,0,2021-01-05
TWDL9ZS13C,836,2262,16971,0.323,0,0,0,10,5,56,0,0,0,2021-01-25
9XQYM52XG8,697,3184,18582,0.274,0,0,0,13,1,71,0,2,1,2022-01-11
P6BEFFLZM7,530,1896,2944,0.2756,2,0,0,10,1,74,0,2,0,2023-03-18
64JWTEKTSG,715,4312,15075,0.5726,0,0,0,4,2,59,0,1,0,2022-07-02
7FXZV4U3BB,552,1729,11979,0.4317,0,0,0,8,0,75,0,0,0,2023-01-11
XUX1OXRWK8,728,10009,35107,0.2377,0,0,0,6,4,59,0,0,0,2021-01-23
R2YKCCPRHV,765,9464,40907,0.0953,0,0,0,9,1,60,0,0,0,2022-02-09
LZ049ENULQ,567,4465,29529,0.1005,0,0,0,7,1,70,0,1,1,2021-05-25
JIDKNWI5FL,746,2675,1740,0.5767,0,1,0,10,3,22,0,3,0,2023-09-14
UL1RSRLA8S,691,1969,2131,0.0247,0,0,0,1,1,79,1,1,0,2022-03-13
8HMBR5XQT4,732,3221,8013,0.1291,0,0,1,8,0,74,0,1,0,2023-10-28
P501NOUHTC,839,7152,44669,0.6378,1,0,0,7,0,71,0,1,0,2022-04-09
S1K9YE9O2M,625,3064,7877,0.2779,0,0,0,13,2,72,0,1,0,2021-09-22
71HSSBELRQ,574,15446,55673,0.3653,0,0,0,3,0,27,0,3,1,2020-10-31
VSLWF90KM3,561,12021,37029,0.0185,1,0,0,11,1,74,0,1,0,2023-09-15
TZK3NY9V20,568,4917,31971,0.2668,1,0,0,12,1,44,0,1,0,2022-12-20
YAR821UZVG,642,3725,18813,0.5134,0,0,0,9,4,79,1,0,1,2022-11-01
WW4FYB8DAL,684,3492,7438,0.1615,0,0,0,10,0,59,0,0,0,2021-11-30
FYO1750CEH,677,12823,91363,0.4601,0,0,0,3,5,56,0,0,0,2023-02-17
LXSLG6MM1Z,732,3314,1928,0.1363,0,0,0,10,2,37,0,2,0,2021-05-31
XYVGIUI9KK,651,8609,31297,0.4604,0,0,0,10,0,31,0,0,0,2023-01-29
HZLM72JEYN,795,4979,32234,0.5796,1,1,0,6,4,30,0,2,0,2021-07-16
9382KKZMPJ,623,7541,29787,0.1748,1,0,0,10,1,33,0,1,0,2022-02-08
RHT7ZEWVIY,850,3004,7839,0.282,0,0,0,4,0,73,0,1,0,2023-04-28
TWBOZD1AT7,712,4024,29735,0.0664,0,0,0,6,2,46,0,0,0,2020-07-01
O75RH8LX6D,564,4843,26688,0.0641,0,1,0,13,0,77,0,1,1,2021-08-17
UT076G5G79,542,3364,15350,0.0941,1,0,0,6,5,40,0,1,0,2023-11-20
OR7875AUD9,698,10399,77524,0.5879,0,0,0,10,3,52,0,0,0,2020-07-13
K9TR74QGEF,627,3107,22736,0.195,0,0,0,12,0,60,0,2,0,2023-10-13
QJG02U1G46,721,3476,10750,0.192,0,0,0,9,1,55,0,2,0,2022-10-30
3SDYGFLIJI,697,11105,34636,0.193,0,0,0,7,2,77,1,2,0,2023-08-02
18K0AXYCEL,642,9886,26744,0.234,0,0,0,7,2,46,0,1,0,2021-10-23
OS6ZLE6KWH,565,12743,33452,0.2727,0,0,0,8,1,34,0,1,0,2020-06-08
EF0VOTQTXH,498,1564,2464,0.1935,0,0,0,9,1,36,0,3,0,2021-10-23
I15CQZCUCT,605,5543,29409,0.3248,1,0,0,9,0,51,0,1,0,2023-06-14
SUFLSEHUDS,735,5188,14258,0.3173,0,0,0,7,0,54,1,1,0,2023-08-26
3QSQCQ30O3,671,3508,13545,0.6167,0,0,0,15,2,44,0,0,1,2022-06-29
0UBMC97C7B,525,5971,24330,0.1342,1,0,1,7,0,73,0,3,1,2023-03-16
O119XP9N56,667,4052,22383,0.2314,1,0,0,5,5,38,0,0,0,2021-04-01
NYXTXMGTT0,688,5416,36223,0.4436,0,0,0,9,2,22,0,1,1,2022-11-06
IAAKYTT3IM,561,37840,293913,0.6307,0,0,0,9,2,34,0,1,1,2020-04-06
J70E3P15AH,665,5944,22554,0.3088,0,0,0,7,0,72,0,1,0,2020-10-25
DBVZB0OIH5,655,6096,42085,0.0551,1,0,0,8,1,21,0,2,0,2022-10-11
CSK30LVYLK,535,8044,36179,0.5812,0,0,0,4,2,68,1,1,1,2023-08-24
FXHKC856WP,685,5477,41118,0.1152,0,0,0,5,1,34,0,1,0,2022-07-24
R97Y2LOFN1,706,2543,15770,0.4181,2,0,0,13,1,38,1,0,0,2023-12-06
R4KZ36U8UE,758,1829,10322,0.2892,0,0,0,16,0,75,0,1,0,2021-01-11
IHX74D0GJY,755,4829,17542,0.4114,0,0,0,8,2,60,1,1,1,2021-12-02
V5G10UR5L8,512,4181,11610,0.01,0,0,0,11,3,49,0,1,0,2021-03-22
A78E9RIVH6,556,1512,9906,0.2349,0,1,0,6,1,70,3,1,0,2021-08-21
T1NTMJSRD9,701,13064,63424,0.3845,1,0,0,6,0,78,0,0,0,2020-10-08
Q46NOUHFJ7,701,5240,5691,0.2708,1,1,0,9,4,43,0,1,0,2022-02-02
UPFLN4RXYJ,701,11656,43864,0.408,0,0,0,13,2,64,2,1,1,2023-11-19
38XRG2GZR7,850,1288,2045,0.3166,0,0,0,9,3,33,0,0,0,2023-10-22
TXCB48Y1O4,707,11791,8334,0.232,0,1,0,8,5,53,0,2,0,2022-10-20
IZASNWYWRR,763,3673,29168,0.1414,1,0,0,6,2,44,0,0,0,2022-05-23
ATATJ9A3Y3,745,10461,47782,0.3978,0,0,0,11,3,63,0,2,0,2023-03-04
6DDFGS3JON,715,5591,36861,0.274,1,0,0,10,2,79,0,0,0,2020-09-01
OU9IY4X41D,618,6450,25008,0.2603,0,0,0,9,5,74,0,3,0,2022-02-12
NTCAGRP2U4,725,6455,33977,0.2402,0,0,0,8,1,38,0,2,0,2023-09-30
DTBH55RBC7,572,3808,30189,0.297,0,0,0,4,1,65,0,0,0,2023-11-21
6UB7L8V1ZO,626,3334,18034,0.136,0,1,0,9,0,21,0,1,0,2021-04-29
CFI4O6L1F9,601,3957,6808,0.4853,0,0,0,9,0,50,0,0,0,2022-03-25
0S9BP4M18O,658,2032,13003,0.0826,0,0,0,7,2,42,0,0,0,2022-08-22
1BJ9RM7PYX,850,3683,27512,0.4441,0,0,0,7,2,33,0,1,0,2020-02-23
DW2ZCFZW0L,463,3235,9437,0.0678,0,0,0,10,0,33,0,1,1,2022-01-06
DALMJEGQTO,718,2003,4360,0.3405,0,0,0,7,1,60,0,0,0,2022-04-02
AMDVLNKND6,488,6471,16085,0.2448,0,1,0,9,2,70,0,1,1,2023-03-22
69UGNEKRCP,602,4937,8651,0.4597,0,0,0,6,3,33,0,0,0,2021-06-06
PRCJIWVHDK,758,5696,11888,0.3427,0,0,0,9,2,20,0,1,0,2021-12-25
8LW2LM349E,656,7468,42296,0.2172,0,0,0,10,0,70,0,1,0,2021-09-19
L8HL88KZRU,542,4261,13898,0.1784,0,1,0,4,0,45,0,3,1,2020-10-10
IN3OEUVTYT,578,2798,19996,0.088,0,0,0,10,0,57,0,2,1,2020-02-26
8QZPKY32OR,717,5897,18810,0.4986,0,0,0,4,0,58,0,2,0,2022-03-14
WIXZ2C9ROS,576,851,6286,0.17,0,1,0,11,2,18,0,1,0,2020-07-02
7YT2M6TWD1,671,4606,6902,0.4015,0,1,0,3,1,23,0,0,0,2023-01-26
XMXB9YO18P,654,7778,5861,0.2094,2,0,0,11,3,28,0,1,0,2022-02-10
AJSSUUQO1V,584,9211,58694,0.5294,1,0,0,11,0,43,0,1,0,2022-11-04
SMADO8E7FL,850,3577,22383,0.3231,1,0,0,11,0,68,0,2,0,2021-04-28
QHRRPZLK3E,713,1280,7341,0.219,0,0,0,8,2,50,0,1,0,2021-08-21
4XYF9IGFU8,447,1012,3704,0.5818,0,1,0,7,1,20,0,1,0,2022-03-11
IOGXPBWHVN,668,7207,14396,0.1559,0,0,0,9,3,40,0,0,0,2022-10-06
ZH13CD5GLQ,583,3974,8849,0.2035,0,0,0,6,4,39,0,2,0,2023-03-29
J5SXVWVM4W,735,16487,107298,0.1561,1,0,0,9,2,55,1,0,0,2021-11-19
3ZKWDEEKGY,570,2107,15925,0.3237,1,0,0,7,0,63,0,1,0,2023-05-12
SPENGWYX9T,638,6035,46075,0.2021,0,0,0,5,0,40,1,0,0,2021-02-20
RFLQBMAE38,700,13325,44087,0.1673,0,1,0,7,2,61,0,1,0,2023-05-29
SRYO4RCB1K,736,5562,29981,0.0616,1,0,0,11,0,52,0,2,0,2021-11-14
JTGQ01TEE1,529,1890,5308,0.5826,0,0,0,11,3,56,0,2,0,2022-07-10
3N3BZT9D31,616,25940,178944,0.2262,0,0,0,9,1,77,0,3,0,2023-04-08
K9QM3P91I3,602,12687,62730,0.0619,0,0,0,10,1,43,0,0,0,2022-09-03
VMZWFFHHCM,584,4288,29830,0.7469,1,0,0,7,2,66,0,1,0,2023-12-14
KTLZKJ49YD,826,8033,48966,0.3129,0,0,0,8,1,62,0,1,0,2021-08-21
82795E5IZ3,690,8085,18974,0.337,0,0,0,11,4,74,1,2,0,2021-08-30
1YRUJOQW5D,523,7223,5280,0.3547,0,0,0,8,4,18,0,1,1,2020-02-05
SK7N8LA100,741,2145,16889,0.1608,1,1,1,10,4,75,2,4,0,2023-05-02
QXMCTHPHJ3,850,5969,23337,0.1604,0,0,0,16,5,25,0,1,0,2020-12-15
MUURMYBD2Q,753,11806,30220,0.2025,1,0,0,6,1,27,0,0,0,2021-04-13
E4PA8HYEXF,498,6652,43823,0.2227,0,0,0,11,3,67,0,0,0,2022-01-31
7JXJN6FOKZ,601,6237,11130,0.2379,0,1,0,12,1,30,0,0,0,2020-08-21
IXZAREIYAZ,776,3561,15321,0.4562,0,0,0,11,0,23,0,2,0,2023-03-06
39PECN0DL5,579,2857,10411,0.437,0,0,0,11,1,47,1,2,0,2021-07-09
E11E9FTAXP,694,1913,2772,0.2779,0,0,0,7,0,34,0,1,1,2023-02-25
0WFOY4DD1V,727,7742,43077,0.1227,0,1,0,3,1,71,0,1,0,2020-04-20
N8LFJDTVV2,557,4304,30658,0.1209,0,0,0,8,0,62,0,2,1,2022-08-01
Y4XKSS0KB6,644,2197,16402,0.6469,0,1,0,8,0,20,0,0,1,2020-07-16
8RERVT997E,325,8829,41235,0.0639,0,0,0,9,5,44,1,1,0,2021-09-03
4UNY181ACJ,547,3455,2110,0.135,0,0,0,10,1,31,0,0,0,2023-08-10
BC2SWSOZCT,624,2937,9982,0.231,0,0,0,8,0,70,0,1,0,2022-08-01
WJLSH3TOW4,525,3649,16865,0.6126,0,0,0,11,2,24,0,0,0,2021-05-10
YCZ04CDPQV,813,4377,33976,0.171,0,0,0,10,2,40,0,1,0,2020-03-05
L00EZZF8S2,506,6469,24781,0.6103,0,0,0,10,2,40,0,0,1,2022-04-26
ZGE2J51B3J,605,2906,9129,0.0826,0,0,0,4,0,79,0,0,0,2020-05-28
CZUCQMRUNJ,663,9011,66880,0.274,1,0,0,9,0,77,0,1,0,2020-09-29
DU0ISB5IQN,794,6571,25044,0.2948,0,0,0,10,2,74,0,0,0,2021-08-06
F74T60PLOZ,506,3609,27684,0.0534,0,0,0,9,3,52,0,1,1,2020-11-17
JCNS6G298C,766,4465,12879,0.1149,1,2,0,4,1,63,0,1,0,2023-06-12
QK4LTAHUKW,651,3813,23230,0.3214,0,0,0,8,0,49,0,0,0,2022-09-03
QVR1H61IAO,551,5112,34893,0.5386,0,0,0,8,4,62,0,0,0,2020-12-10
IM458AX40D,696,12233,87497,0.1527,2,0,0,4,0,76,0,0,0,2022-09-27
TIRC9ZD76S,669,3790,10338,0.4109,0,0,1,3,3,45,0,2,0,2021-01-11
ZN9DDE3CUP,589,5506,43386,0.4691,0,2,0,12,0,51,1,0,0,2022-06-06
8IJL2Z0LJC,656,3231,19613,0.0957,3,1,1,12,2,35,0,2,0,2022-04-08
H2VFFQOT8H,611,6762,11060,0.2814,0,0,0,13,0,30,0,0,1,2023-04-26
LJEFY3ZB4L,661,5801,35944,0.2474,0,0,0,8,1,61,0,1,0,2021-07-18
DIMSYJ9BOQ,716,10913,73709,0.2342,0,0,0,10,0,25,0,0,0,2022-01-16
0IQ2FA39E3,808,2988,5576,0.1587,1,0,0,11,2,42,1,1,0,2022-12-05
NWXUJ3AC6P,526,7437,13199,0.2667,0,0,0,12,0,29,0,3,0,2020-10-17
